week_start,domain,locale,owner,target_urls,new_pages,refresh_pages,priority_topic_cluster,status,notes
2026-02-23,localvram.com,en,content-en,8,3,5,model fit + vram planning,active,existing production lane
2026-02-23,localvram.com,es,content-es,3,2,1,local llm cost + gpu choice,planned,launch locale briefs
2026-02-23,localvram.com,pt,content-pt,3,2,1,local llm cost + gpu choice,planned,launch locale briefs
2026-02-23,localvram.com,fr,content-fr,3,2,1,ollama setup + hardware tiers,planned,launch locale briefs
2026-02-23,localvram.com,de,content-de,3,2,1,benchmark stability + thermals,planned,launch locale briefs
2026-02-23,localvram.com,ru,content-ru,3,2,1,local deployment + gpu sizing,planned,launch locale briefs
2026-02-23,localvram.com,ja,content-ja,3,2,1,local inference speed + memory,planned,launch locale briefs
2026-02-23,localvram.com,ko,content-ko,3,2,1,llm setup + benchmark comparisons,planned,launch locale briefs
2026-02-23,localvram.com,ar,content-ar,3,2,1,cloud vs local decision pages,planned,launch locale briefs
2026-02-23,localvram.com,hi,content-hi,3,2,1,beginner setup + hardware guides,planned,launch locale briefs
2026-02-23,localvram.com,id,content-id,3,2,1,budget gpu + practical deployment,planned,launch locale briefs
2026-02-23,localvram.cn,zh-CN,content-zh,8,4,4,model picks + deployment guides,active,cn independent operation
